price,year,manufacturer,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,state
17499,2012,acura,excellent,6 cylinders,gas,84000,clean,automatic,4wd,full-size,SUV,white,ny
29700,2016,lexus,good,4 cylinders,gas,70756,clean,automatic,4wd,mid-size,SUV,blue,wi
17880,2018,nissan,excellent,4 cylinders,gas,40529,clean,automatic,4wd,mid-size,SUV,silver,vt
10750,2011,bmw,excellent,6 cylinders,gas,145000,clean,automatic,4wd,full-size,SUV,black,ia
16995,2014,ford,excellent,6 cylinders,gas,95000,clean,automatic,4wd,full-size,SUV,grey,or
35999,2014,gmc,excellent,8 cylinders,gas,78733,clean,automatic,4wd,full-size,truck,black,ak
5745,2008,bmw,excellent,6 cylinders,gas,177000,clean,automatic,rwd,full-size,sedan,black,nj
10995,2014,ford,excellent,6 cylinders,gas,156000,clean,automatic,rwd,full-size,pickup,white,tx
31995,2017,chevrolet,excellent,8 cylinders,gas,101870,clean,automatic,4wd,full-size,truck,black,wi
8999,2011,hyundai,good,4 cylinders,gas,89469,clean,automatic,fwd,mid-size,sedan,white,ny
13999,2017,honda,good,4 cylinders,gas,65930,rebuilt,automatic,fwd,full-size,sedan,blue,oh
21995,2006,ford,excellent,8 cylinders,diesel,114808,clean,automatic,4wd,full-size,pickup,green,tx
16900,2016,chevrolet,excellent,4 cylinders,gas,99982,clean,automatic,rwd,full-size,truck,white,fl
1,2014,bmw,excellent,8 cylinders,gas,59964,clean,other,4wd,compact,sedan,silver,fl
13500,2011,toyota,excellent,4 cylinders,gas,166102,clean,automatic,4wd,full-size,pickup,silver,fl
4600,2008,honda,excellent,4 cylinders,gas,197000,clean,manual,fwd,compact,hatchback,blue,la
6985,2010,ford,good,6 cylinders,gas,157172,clean,automatic,fwd,mid-size,sedan,black,il
6990,2014,chrysler,good,6 cylinders,gas,151013,clean,automatic,fwd,full-size,van,silver,fl
5950,1951,ford,good,other,gas,99999,clean,other,rwd,full-size,convertible,grey,nc
9500,2014,ford,excellent,4 cylinders,gas,219581,clean,automatic,fwd,full-size,van,white,tn
7700,2008,lexus,excellent,6 cylinders,hybrid,180360,clean,automatic,4wd,full-size,SUV,silver,az
5695,2009,mercury,fair,4 cylinders,gas,158500,clean,automatic,fwd,mid-size,SUV,blue,mi
32500,2011,ford,excellent,8 cylinders,diesel,165697,clean,automatic,4wd,full-size,truck,white,fl
6750,2010,kia,excellent,4 cylinders,gas,128992,clean,automatic,fwd,compact,coupe,grey,nc
6500,1988,chevrolet,like new,8 cylinders,gas,49643,clean,automatic,4wd,full-size,pickup,black,va
11998,2014,nissan,good,4 cylinders,gas,106698,clean,automatic,4wd,full-size,SUV,silver,vt
1,2019,chevrolet,excellent,10 cylinders,gas,80545,clean,automatic,rwd,full-size,truck,silver,fl
11000,2014,nissan,excellent,4 cylinders,gas,59000,clean,automatic,fwd,mid-size,SUV,silver,tx
34788,2019,ford,good,6 cylinders,gas,27999,clean,automatic,rwd,full-size,van,white,tx
18900,2012,chevrolet,excellent,8 cylinders,gas,0,clean,automatic,rwd,full-size,truck,blue,ca
36490,2018,ford,good,10 cylinders,gas,16535,clean,automatic,rwd,full-size,truck,white,in
17995,2013,ford,excellent,8 cylinders,gas,120506,clean,automatic,4wd,full-size,truck,white,co
85,2008,jeep,good,6 cylinders,gas,94506,clean,automatic,rwd,full-size,SUV,blue,fl
8999,2015,ford,excellent,4 cylinders,gas,84580,clean,automatic,fwd,mid-size,sedan,red,nc
6999,2012,ford,excellent,4 cylinders,gas,110297,clean,automatic,fwd,compact,hatchback,silver,ca
33900,2019,ford,like new,4 cylinders,gas,21000,clean,automatic,4wd,mid-size,SUV,white,ia
9995,2015,ford,good,6 cylinders,gas,148000,clean,automatic,4wd,full-size,SUV,custom,ny
7998,2006,toyota,good,4 cylinders,gas,154022,clean,automatic,4wd,mid-size,SUV,blue,vt
6950,2011,honda,excellent,4 cylinders,gas,164453,clean,automatic,4wd,mid-size,SUV,black,ct
1,2014,mercedes-benz,excellent,10 cylinders,gas,62399,clean,automatic,rwd,compact,sedan,silver,fl
15995,2015,chevrolet,good,4 cylinders,gas,136694,clean,automatic,rwd,full-size,pickup,white,tx
34995,2015,chevrolet,like new,8 cylinders,gas,87132,clean,automatic,4wd,full-size,truck,black,ak
44495,2020,chevrolet,new,8 cylinders,gas,16228,clean,automatic,4wd,full-size,truck,blue,fl
19900,2011,jaguar,excellent,6 cylinders,gas,83663,clean,automatic,fwd,full-size,sedan,black,fl
6000,1954,lincoln,fair,8 cylinders,gas,116102,clean,automatic,rwd,full-size,coupe,white,oh
30990,2017,chevrolet,excellent,8 cylinders,gas,89609,clean,automatic,rwd,full-size,pickup,white,fl
10995,2015,kia,excellent,4 cylinders,gas,72871,clean,automatic,fwd,mid-size,wagon,silver,or
48900,2018,chevrolet,like new,8 cylinders,diesel,43034,rebuilt,automatic,4wd,full-size,truck,black,fl
17990,2013,toyota,excellent,4 cylinders,gas,100163,clean,automatic,rwd,full-size,pickup,brown,fl
12995,2012,audi,good,4 cylinders,gas,109785,clean,automatic,4wd,full-size,SUV,black,ny
13900,2010,dodge,excellent,6 cylinders,gas,126888,clean,automatic,rwd,mid-size,coupe,white,fl
23950,2015,toyota,excellent,6 cylinders,gas,97500,clean,automatic,rwd,compact,truck,blue,fl
17487,2008,ford,good,8 cylinders,diesel,110849,clean,automatic,rwd,full-size,truck,white,wi
25990,2006,chevrolet,good,8 cylinders,gas,73360,clean,automatic,rwd,full-size,truck,white,ia
25995,2018,ford,like new,6 cylinders,gas,51238,clean,automatic,fwd,full-size,van,white,nj
3700,2007,toyota,good,4 cylinders,hybrid,191913,clean,automatic,fwd,full-size,sedan,silver,nc
34695,2018,toyota,good,6 cylinders,gas,57117,clean,automatic,4wd,full-size,truck,blue,pa
11995,2014,volkswagen,excellent,4 cylinders,gas,63930,clean,automatic,fwd,mid-size,sedan,black,ca
10800,2013,nissan,excellent,4 cylinders,gas,50000,rebuilt,automatic,4wd,full-size,SUV,grey,ks
9495,2009,audi,good,6 cylinders,gas,156811,clean,automatic,fwd,mid-size,coupe,grey,pa
12900,2016,toyota,like new,4 cylinders,gas,83021,clean,automatic,fwd,mid-size,sedan,blue,ny
43900,2016,ford,excellent,8 cylinders,diesel,118000,clean,automatic,4wd,full-size,truck,black,nc
7695,2012,hyundai,excellent,4 cylinders,gas,108000,clean,manual,fwd,compact,hatchback,grey,il
23500,2015,bmw,excellent,4 cylinders,gas,37518,clean,automatic,4wd,mid-size,sedan,grey,ct
12990,2009,acura,good,4 cylinders,gas,109765,clean,automatic,4wd,full-size,SUV,grey,or
10995,2002,chevrolet,good,8 cylinders,gas,53058,clean,automatic,rwd,full-size,van,white,nv
6900,2007,toyota,excellent,8 cylinders,gas,186000,clean,automatic,rwd,full-size,SUV,blue,nc
14990,2012,ford,fair,6 cylinders,gas,177541,clean,automatic,4wd,full-size,truck,white,mt
5297,2000,gmc,excellent,6 cylinders,gas,249898,clean,automatic,rwd,full-size,van,blue,ok
23900,2019,nissan,excellent,6 cylinders,gas,32580,clean,automatic,fwd,full-size,SUV,white,ne
68995,2017,ford,excellent,6 cylinders,gas,22098,clean,automatic,4wd,full-size,pickup,silver,ca
9999,2015,nissan,excellent,4 cylinders,gas,67368,clean,automatic,fwd,mid-size,sedan,red,nj
43900,2016,ford,excellent,8 cylinders,diesel,118000,clean,automatic,4wd,full-size,truck,black,va
18775,2004,ford,excellent,8 cylinders,gas,8572,clean,automatic,rwd,full-size,van,white,mi
10999,1999,ford,good,8 cylinders,diesel,88000,clean,manual,rwd,full-size,other,red,oh
12500,2011,honda,excellent,6 cylinders,gas,118000,clean,automatic,4wd,full-size,SUV,grey,ny
5477,2002,nissan,excellent,6 cylinders,gas,186689,clean,automatic,4wd,compact,SUV,green,or
9450,2016,chevrolet,excellent,4 cylinders,gas,62084,clean,automatic,fwd,sub-compact,sedan,red,ca
4800,2004,chevrolet,good,8 cylinders,gas,226386,clean,automatic,4wd,full-size,pickup,black,al
1,2017,ram,excellent,6 cylinders,gas,59113,clean,other,4wd,full-size,truck,white,fl
14500,2018,chevrolet,excellent,4 cylinders,gas,31225,lien,automatic,fwd,sub-compact,hatchback,blue,wi
200,2016,hyundai,excellent,4 cylinders,gas,88282,clean,automatic,fwd,mid-size,sedan,brown,id
13999,2015,gmc,like new,4 cylinders,gas,97202,clean,automatic,fwd,mid-size,SUV,black,ca
5750,2015,nissan,excellent,4 cylinders,gas,133000,clean,automatic,fwd,compact,sedan,white,va
14900,2007,chevrolet,excellent,8 cylinders,gas,146000,clean,automatic,4wd,full-size,truck,red,mo
4027,2000,honda,excellent,6 cylinders,gas,129805,clean,automatic,fwd,mid-size,sedan,purple,ut
13900,2017,mazda,like new,4 cylinders,gas,70706,clean,automatic,fwd,mid-size,hatchback,black,tn
17500,2014,bmw,excellent,6 cylinders,gas,96500,lien,automatic,rwd,mid-size,sedan,silver,az
7495,2014,mitsubishi,good,4 cylinders,gas,133602,clean,automatic,4wd,full-size,SUV,white,nj
9950,2006,ram,excellent,8 cylinders,gas,160964,clean,automatic,4wd,full-size,truck,white,mo
31900,2019,cadillac,like new,6 cylinders,gas,32936,clean,automatic,rwd,full-size,sedan,silver,ca
12995,2015,subaru,good,4 cylinders,gas,117885,clean,automatic,4wd,full-size,SUV,blue,ny
8700,2010,ford,excellent,6 cylinders,gas,124000,clean,automatic,4wd,full-size,SUV,white,mi
8945,2008,toyota,excellent,4 cylinders,gas,68781,clean,automatic,fwd,mid-size,sedan,silver,ky
3450,1996,ford,excellent,6 cylinders,gas,138000,clean,automatic,rwd,mid-size,coupe,white,pa
29440,2018,ford,good,8 cylinders,gas,134714,clean,automatic,4wd,full-size,truck,white,wi
26922,2017,ford,like new,6 cylinders,gas,38780,clean,automatic,fwd,mid-size,SUV,white,tx
6400,2009,mercury,good,4 cylinders,gas,90800,clean,automatic,fwd,full-size,SUV,red,nc
8900,2009,acura,excellent,4 cylinders,gas,121000,clean,automatic,rwd,full-size,SUV,white,ok
6999,2010,volkswagen,excellent,4 cylinders,gas,97000,clean,automatic,fwd,compact,coupe,red,ia
33950,2016,chevrolet,excellent,8 cylinders,gas,116058,clean,automatic,4wd,full-size,truck,black,ne
19685,2015,ford,excellent,4 cylinders,gas,44314,clean,automatic,rwd,sub-compact,coupe,silver,fl
63990,2019,gmc,good,8 cylinders,gas,31818,clean,automatic,4wd,full-size,truck,white,mo
8995,2016,chevrolet,excellent,4 cylinders,gas,75294,clean,automatic,fwd,mid-size,sedan,red,md
3999,2004,volvo,like new,6 cylinders,gas,173000,clean,automatic,fwd,mid-size,sedan,silver,ca
13879,2015,subaru,good,4 cylinders,gas,89747,clean,manual,4wd,full-size,SUV,grey,vt
57999,2018,ram,excellent,6 cylinders,diesel,40592,clean,automatic,4wd,full-size,pickup,grey,id
12599,2014,ford,excellent,4 cylinders,gas,61393,clean,automatic,fwd,full-size,sedan,red,or
29900,2018,rover,good,4 cylinders,gas,50000,clean,automatic,4wd,full-size,SUV,black,ri
10498,2015,dodge,good,4 cylinders,gas,97890,clean,automatic,fwd,full-size,SUV,white,va
39995,2017,ford,like new,8 cylinders,gas,98899,clean,automatic,4wd,full-size,truck,white,ak
17995,2016,ford,good,6 cylinders,gas,81037,clean,automatic,rwd,full-size,van,silver,tx
4995,2011,ford,good,8 cylinders,gas,112000,clean,automatic,rwd,full-size,sedan,custom,vt
38500,2017,gmc,excellent,8 cylinders,gas,74373,clean,automatic,4wd,full-size,truck,black,ny
44990,2012,ford,good,8 cylinders,diesel,52307,clean,automatic,4wd,full-size,truck,white,ky
43900,2020,ford,like new,4 cylinders,gas,7000,clean,automatic,4wd,mid-size,SUV,white,ne
37884,2016,ford,good,8 cylinders,gas,77429,clean,automatic,4wd,full-size,truck,white,vt
8600,2013,chevrolet,like new,6 cylinders,gas,80150,clean,automatic,fwd,full-size,sedan,white,tn
5991,2000,toyota,good,8 cylinders,gas,246000,clean,automatic,rwd,full-size,truck,black,tx
9999,2012,chevrolet,excellent,4 cylinders,gas,54693,clean,automatic,fwd,mid-size,sedan,red,ak
1,2013,lexus,excellent,6 cylinders,gas,38373,clean,other,4wd,compact,wagon,silver,fl
14890,2012,chevrolet,excellent,8 cylinders,gas,146979,clean,automatic,rwd,full-size,truck,black,fl
5000,2010,mazda,good,4 cylinders,gas,135000,clean,automatic,fwd,compact,sedan,silver,tn
7400,2006,subaru,excellent,4 cylinders,gas,93323,clean,automatic,4wd,mid-size,sedan,grey,fl
6795,2006,ford,good,8 cylinders,gas,124500,clean,automatic,4wd,full-size,pickup,brown,mi
12985,2010,audi,excellent,6 cylinders,gas,89203,clean,automatic,4wd,full-size,SUV,silver,ky
12995,2009,mercedes-benz,excellent,8 cylinders,gas,115565,clean,automatic,rwd,mid-size,sedan,white,tx
16995,2011,rover,excellent,8 cylinders,gas,100929,clean,automatic,4wd,full-size,SUV,grey,al
45300,2018,ram,excellent,6 cylinders,diesel,34125,rebuilt,automatic,4wd,full-size,truck,black,il
15999,2015,chevrolet,good,4 cylinders,gas,54484,clean,automatic,4wd,mid-size,SUV,silver,ak
15490,2014,subaru,excellent,4 cylinders,gas,64223,clean,automatic,4wd,mid-size,SUV,silver,in
27999,2013,lexus,excellent,6 cylinders,gas,63629,clean,automatic,4wd,full-size,sedan,silver,ak
45300,2018,ram,excellent,6 cylinders,diesel,34125,rebuilt,automatic,4wd,full-size,truck,black,ma
23988,2012,ford,excellent,8 cylinders,other,95861,clean,automatic,4wd,full-size,truck,black,vt
55000,1962,chevrolet,excellent,8 cylinders,gas,50938,clean,manual,rwd,sub-compact,convertible,custom,nh
15785,2012,chevrolet,good,8 cylinders,gas,65372,clean,automatic,rwd,full-size,van,white,wi
17500,2011,mercedes-benz,like new,8 cylinders,gas,127000,clean,automatic,4wd,mid-size,SUV,white,ok
10999,2019,ford,excellent,4 cylinders,gas,33534,rebuilt,automatic,rwd,full-size,SUV,red,tx
21900,2020,chevrolet,excellent,4 cylinders,gas,21092,clean,automatic,fwd,full-size,SUV,blue,ca
16750,2019,mazda,excellent,4 cylinders,gas,30000,clean,automatic,fwd,mid-size,SUV,black,ca
21499,2015,toyota,excellent,6 cylinders,gas,68000,clean,automatic,fwd,full-size,van,blue,ak
22499,2008,mercedes-benz,good,8 cylinders,gas,111019,clean,automatic,rwd,mid-size,sedan,black,co
4995,2002,ford,fair,other,diesel,234000,clean,automatic,4wd,full-size,pickup,white,me
7999,2012,mazda,good,4 cylinders,gas,140000,clean,automatic,fwd,mid-size,hatchback,silver,oh
8999,2012,mini,excellent,4 cylinders,gas,138966,clean,automatic,4wd,compact,sedan,blue,in
9950,2014,nissan,excellent,6 cylinders,gas,124163,clean,automatic,4wd,mid-size,SUV,grey,nj
36900,2018,chevrolet,excellent,8 cylinders,gas,98000,clean,automatic,4wd,full-size,SUV,silver,nc
29700,2014,chevrolet,excellent,6 cylinders,gas,65550,clean,automatic,4wd,full-size,pickup,silver,fl
22997,2010,chevrolet,excellent,8 cylinders,diesel,232166,clean,automatic,4wd,full-size,pickup,white,az
29950,2007,ford,excellent,8 cylinders,diesel,97192,clean,automatic,4wd,full-size,truck,grey,ca
8995,2005,lincoln,excellent,8 cylinders,gas,96000,clean,automatic,rwd,full-size,sedan,silver,il
2495,2019,toyota,like new,4 cylinders,gas,52583,clean,automatic,fwd,mid-size,sedan,custom,ca
10995,2002,toyota,excellent,4 cylinders,gas,218858,clean,manual,rwd,mid-size,pickup,white,ca
16995,2015,ford,good,6 cylinders,gas,80384,clean,automatic,rwd,full-size,van,silver,tx
13949,2017,honda,excellent,4 cylinders,gas,125000,clean,automatic,fwd,mid-size,sedan,silver,az
8495,2013,toyota,excellent,4 cylinders,gas,118910,clean,automatic,fwd,compact,sedan,silver,or
6949,2006,acura,excellent,6 cylinders,gas,162000,clean,automatic,4wd,mid-size,SUV,grey,ca
11500,2014,dodge,excellent,6 cylinders,gas,103000,clean,automatic,fwd,full-size,mini-van,grey,pa
9900,2012,mini,excellent,4 cylinders,gas,108301,clean,automatic,fwd,mid-size,hatchback,green,al
9100,2012,kia,excellent,4 cylinders,gas,106210,clean,automatic,fwd,mid-size,coupe,black,ca
49995,1975,chevrolet,excellent,8 cylinders,gas,0,clean,automatic,4wd,full-size,SUV,orange,nc
9995,2001,ford,like new,8 cylinders,gas,167899,clean,automatic,4wd,full-size,truck,red,fl
32900,2011,ford,excellent,10 cylinders,gas,121000,clean,automatic,4wd,full-size,truck,white,il
22900,2011,bmw,excellent,6 cylinders,gas,58172,clean,manual,rwd,mid-size,convertible,silver,ca
12000,2012,jeep,excellent,4 cylinders,gas,46070,clean,automatic,4wd,mid-size,SUV,grey,tx
8995,2014,nissan,excellent,4 cylinders,gas,70655,clean,automatic,fwd,compact,sedan,silver,ny
6995,2010,toyota,like new,4 cylinders,gas,176055,clean,automatic,fwd,mid-size,sedan,white,ct
34990,2001,ford,good,8 cylinders,diesel,70200,clean,automatic,4wd,full-size,truck,custom,nj
15995,2017,subaru,excellent,4 cylinders,gas,79329,clean,automatic,4wd,full-size,SUV,blue,mi
41995,2016,ford,excellent,6 cylinders,gas,59000,clean,automatic,4wd,full-size,truck,custom,mt
31900,2015,ford,excellent,6 cylinders,gas,94570,clean,automatic,4wd,full-size,pickup,white,ok
12990,2011,chrysler,good,6 cylinders,gas,129227,clean,automatic,rwd,compact,sedan,red,oh
26999,2009,chevrolet,excellent,8 cylinders,diesel,101127,clean,automatic,rwd,full-size,pickup,white,ca
4925,2006,bmw,good,6 cylinders,gas,177200,clean,automatic,rwd,full-size,sedan,grey,ca
14500,2019,chevrolet,like new,4 cylinders,gas,39343,clean,automatic,fwd,compact,sedan,black,tn
1,2018,dodge,excellent,10 cylinders,gas,53658,clean,other,4wd,compact,wagon,grey,fl
39998,2019,ford,excellent,8 cylinders,gas,18000,salvage,automatic,4wd,full-size,pickup,white,ca
10750,2014,volvo,excellent,5 cylinders,gas,103000,clean,automatic,4wd,mid-size,sedan,black,ok
6995,2012,volkswagen,excellent,4 cylinders,gas,105000,clean,automatic,fwd,full-size,sedan,grey,oh
27500,2010,chevrolet,excellent,8 cylinders,diesel,127381,clean,automatic,4wd,full-size,truck,blue,ny
5995,2013,volkswagen,excellent,4 cylinders,gas,201076,clean,automatic,fwd,mid-size,sedan,blue,or
5500,2003,chevrolet,excellent,6 cylinders,gas,96895,clean,automatic,fwd,mid-size,sedan,grey,fl
5500,2007,jeep,excellent,6 cylinders,gas,171111,clean,automatic,4wd,full-size,SUV,black,ny
7500,1969,ford,good,8 cylinders,gas,100000,clean,automatic,rwd,full-size,convertible,blue,wi
9991,2010,honda,excellent,4 cylinders,gas,68000,clean,automatic,fwd,full-size,sedan,black,fl
8900,2006,nissan,good,8 cylinders,gas,150304,clean,automatic,rwd,full-size,pickup,grey,az
4800,2008,infiniti,excellent,6 cylinders,gas,58250,clean,automatic,rwd,compact,coupe,silver,ok
7850,2003,chevrolet,good,8 cylinders,gas,161904,clean,automatic,4wd,full-size,SUV,blue,fl
31000,2017,bmw,excellent,6 cylinders,gas,69739,clean,automatic,4wd,mid-size,SUV,white,ny
9750,2015,chevrolet,good,6 cylinders,gas,93117,clean,automatic,fwd,mid-size,SUV,white,fl
22990,2013,ford,excellent,6 cylinders,gas,156146,clean,automatic,4wd,full-size,pickup,blue,fl
12000,2001,toyota,good,6 cylinders,gas,190261,clean,automatic,4wd,mid-size,truck,silver,fl
36490,2018,ford,good,10 cylinders,gas,16535,clean,automatic,rwd,full-size,truck,white,pa
24660,2012,gmc,excellent,8 cylinders,gas,82000,clean,automatic,4wd,full-size,truck,silver,ny
38300,2020,ford,like new,6 cylinders,gas,7540,clean,automatic,rwd,full-size,van,white,ar
12999,2013,honda,good,4 cylinders,gas,74325,clean,automatic,fwd,mid-size,coupe,black,ma
23498,2013,toyota,good,6 cylinders,gas,124693,clean,automatic,4wd,full-size,truck,green,vt
36000,2018,ford,excellent,6 cylinders,gas,38212,clean,automatic,4wd,mid-size,truck,silver,mi
7995,2010,nissan,excellent,6 cylinders,gas,139884,clean,automatic,rwd,full-size,SUV,red,nc
10795,2007,dodge,like new,6 cylinders,gas,100837,clean,automatic,rwd,mid-size,hatchback,white,tn
48900,2015,chevrolet,excellent,8 cylinders,diesel,138000,clean,automatic,4wd,full-size,truck,red,va
31988,2015,ford,excellent,6 cylinders,gas,67695,clean,automatic,4wd,full-size,truck,silver,vt
23995,2018,chevrolet,excellent,6 cylinders,gas,93839,clean,automatic,fwd,full-size,SUV,white,mn
4600,2006,buick,excellent,6 cylinders,gas,145000,clean,automatic,fwd,full-size,sedan,red,nv
3000,1987,ford,good,8 cylinders,gas,50000,clean,automatic,rwd,full-size,truck,red,nj
10648,2012,chevrolet,excellent,4 cylinders,gas,90625,clean,automatic,fwd,mid-size,SUV,grey,ar
11500,2013,volkswagen,excellent,4 cylinders,diesel,59114,clean,automatic,fwd,mid-size,sedan,white,ga
8747,2014,hyundai,excellent,4 cylinders,gas,112802,clean,automatic,fwd,mid-size,SUV,silver,co
8000,2004,toyota,excellent,6 cylinders,gas,225000,clean,automatic,4wd,mid-size,SUV,white,mi
9000,2007,bmw,like new,6 cylinders,gas,119000,clean,automatic,rwd,mid-size,sedan,silver,mt
16000,2013,chevrolet,excellent,8 cylinders,gas,147226,clean,automatic,4wd,mid-size,truck,grey,mi
17900,2017,chevrolet,excellent,4 cylinders,gas,23981,clean,automatic,fwd,mid-size,sedan,red,fl
23990,2008,ford,excellent,8 cylinders,diesel,52948,clean,automatic,4wd,full-size,pickup,green,mn
8995,2009,lincoln,excellent,8 cylinders,gas,38615,clean,automatic,rwd,full-size,other,black,fl
9990,2015,nissan,excellent,4 cylinders,gas,108000,clean,automatic,fwd,full-size,sedan,black,dc
4700,2008,chevrolet,good,4 cylinders,gas,27579,clean,automatic,fwd,sub-compact,sedan,white,id
10988,2013,bmw,excellent,4 cylinders,gas,122578,clean,automatic,rwd,compact,sedan,blue,ca
11995,2014,toyota,excellent,4 cylinders,gas,64218,clean,automatic,fwd,mid-size,sedan,white,hi
17995,2016,ford,good,6 cylinders,gas,128480,clean,automatic,rwd,full-size,van,white,mi
4250,2001,bmw,excellent,6 cylinders,gas,238717,clean,manual,rwd,full-size,sedan,silver,fl
10900,2008,lexus,excellent,8 cylinders,gas,114451,clean,automatic,rwd,full-size,sedan,black,tx
12900,2015,nissan,excellent,6 cylinders,gas,106060,clean,automatic,fwd,mid-size,sedan,white,fl
10520,2012,dodge,good,8 cylinders,gas,118300,clean,automatic,rwd,full-size,sedan,black,tx
18995,2018,kia,excellent,4 cylinders,gas,24663,clean,automatic,fwd,mid-size,sedan,silver,ak
6990,2017,kia,good,4 cylinders,gas,153000,clean,automatic,fwd,mid-size,sedan,silver,sc
9395,2013,ford,good,4 cylinders,gas,129652,clean,automatic,4wd,full-size,SUV,blue,nh
24990,2009,chevrolet,good,8 cylinders,gas,72789,clean,automatic,rwd,full-size,truck,white,ny
25995,2020,subaru,like new,4 cylinders,gas,23136,clean,automatic,4wd,mid-size,sedan,white,ny
3995,2004,chrysler,good,6 cylinders,gas,61145,clean,automatic,fwd,mid-size,convertible,brown,tx
8000,2011,chevrolet,good,4 cylinders,gas,107669,clean,automatic,fwd,mid-size,sedan,grey,oh
21995,2017,audi,excellent,4 cylinders,gas,64431,clean,automatic,4wd,mid-size,sedan,black,ct
11995,2008,toyota,excellent,6 cylinders,gas,167974,clean,automatic,rwd,full-size,truck,black,ny
10700,2009,audi,excellent,4 cylinders,gas,55000,clean,automatic,4wd,full-size,wagon,black,ca
44900,2019,toyota,like new,6 cylinders,gas,30000,clean,automatic,4wd,mid-size,SUV,white,co
29990,2007,ford,good,8 cylinders,diesel,124669,clean,automatic,rwd,full-size,truck,white,nj
29700,2014,chevrolet,excellent,6 cylinders,gas,65550,clean,automatic,4wd,full-size,pickup,silver,fl
6995,2013,ford,excellent,4 cylinders,gas,84095,clean,automatic,fwd,mid-size,sedan,white,ks
12995,2017,chevrolet,excellent,4 cylinders,gas,107923,clean,automatic,fwd,mid-size,sedan,white,mi
79995,2018,ford,excellent,8 cylinders,diesel,21739,clean,automatic,4wd,full-size,pickup,black,ny
1,2014,ram,excellent,6 cylinders,gas,70995,clean,other,4wd,full-size,truck,grey,fl
11299,2015,honda,excellent,4 cylinders,gas,107428,clean,automatic,fwd,compact,sedan,grey,fl
2450,2006,chrysler,good,6 cylinders,gas,127000,clean,automatic,fwd,full-size,mini-van,grey,ia
12991,2013,bmw,excellent,4 cylinders,gas,103000,clean,automatic,4wd,full-size,SUV,white,fl
3500,2017,mercedes-benz,excellent,6 cylinders,gas,45901,clean,automatic,rwd,full-size,sedan,black,fl
15990,2008,ford,good,10 cylinders,gas,96740,clean,automatic,rwd,full-size,truck,white,il
3900,2002,chrysler,excellent,6 cylinders,gas,130000,clean,automatic,fwd,sub-compact,convertible,white,or
10950,2012,nissan,excellent,4 cylinders,gas,68700,clean,automatic,4wd,compact,wagon,white,ca
14995,2013,ford,excellent,4 cylinders,gas,64082,clean,automatic,4wd,full-size,SUV,white,ca
5995,2002,gmc,good,8 cylinders,gas,248840,clean,automatic,4wd,full-size,truck,black,wi
8950,2011,ford,excellent,6 cylinders,gas,164000,clean,automatic,fwd,full-size,truck,white,al
6700,2011,dodge,excellent,6 cylinders,gas,142280,clean,automatic,fwd,mid-size,SUV,black,oh
15470,2015,bmw,good,6 cylinders,gas,74041,clean,automatic,4wd,compact,sedan,blue,va
13650,2002,lexus,good,8 cylinders,gas,105202,clean,automatic,rwd,mid-size,convertible,green,mn
9995,2017,hyundai,good,4 cylinders,gas,77000,clean,automatic,fwd,mid-size,coupe,silver,ny
7990,2004,lexus,excellent,6 cylinders,gas,168660,clean,automatic,4wd,full-size,SUV,white,az
9998,2010,subaru,excellent,6 cylinders,gas,132819,clean,automatic,4wd,full-size,wagon,silver,vt
2600,2002,ford,good,6 cylinders,gas,146000,clean,automatic,rwd,mid-size,pickup,yellow,oh
17111,2014,chrysler,excellent,6 cylinders,gas,53133,clean,automatic,rwd,full-size,sedan,black,oh
14500,2009,gmc,good,8 cylinders,gas,186168,clean,automatic,4wd,full-size,pickup,grey,tx
10988,2013,nissan,good,6 cylinders,gas,179000,clean,automatic,rwd,full-size,truck,silver,ms
23995,2017,volkswagen,like new,4 cylinders,gas,23962,clean,automatic,fwd,compact,hatchback,white,or
11595,2011,ford,excellent,6 cylinders,gas,100783,clean,automatic,fwd,full-size,SUV,white,ca
22950,2016,nissan,excellent,6 cylinders,gas,136198,clean,automatic,rwd,full-size,van,white,ca
3995,2002,toyota,excellent,4 cylinders,gas,155000,clean,automatic,fwd,sub-compact,sedan,blue,ga
14995,2011,ford,excellent,6 cylinders,gas,190923,clean,automatic,rwd,full-size,pickup,grey,tx
4975,2004,cadillac,excellent,6 cylinders,gas,93098,clean,automatic,4wd,mid-size,SUV,blue,wi
17995,2014,chevrolet,excellent,8 cylinders,gas,134511,clean,automatic,rwd,mid-size,van,white,mo
14995,2013,audi,excellent,6 cylinders,gas,154315,clean,automatic,4wd,full-size,SUV,grey,il
9500,2014,ford,excellent,4 cylinders,gas,219581,clean,automatic,fwd,full-size,van,white,ar
1,2009,lexus,excellent,6 cylinders,gas,147800,clean,automatic,4wd,sub-compact,SUV,grey,co
6995,2008,volkswagen,excellent,4 cylinders,gas,153951,clean,automatic,fwd,compact,coupe,white,tx
28550,2018,alfa-romeo,excellent,4 cylinders,gas,29025,clean,automatic,4wd,mid-size,SUV,grey,tn
23850,2018,jeep,like new,6 cylinders,gas,57000,clean,automatic,4wd,mid-size,coupe,blue,tx
9995,2016,chrysler,excellent,4 cylinders,gas,45476,clean,automatic,fwd,full-size,sedan,black,il
