price,year,manufacturer,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,state
11999,2015,ford,excellent,4 cylinders,gas,76567,rebuilt,automatic,4wd,full-size,SUV,blue,oh
7750,2011,nissan,good,4 cylinders,gas,77866,clean,automatic,4wd,mid-size,SUV,white,va
3000,1999,bmw,good,6 cylinders,gas,224742,clean,manual,rwd,compact,sedan,blue,ca
3195,2003,honda,good,6 cylinders,gas,181000,clean,automatic,fwd,mid-size,sedan,blue,in
10500,2010,chevrolet,good,8 cylinders,gas,147862,salvage,automatic,4wd,full-size,pickup,white,ne
5500,1994,chevrolet,excellent,6 cylinders,gas,214000,clean,manual,4wd,mid-size,pickup,green,mt
1900,2003,volkswagen,good,4 cylinders,gas,116000,clean,manual,rwd,mid-size,sedan,blue,oh
29995,2019,ford,excellent,6 cylinders,gas,11276,clean,automatic,rwd,full-size,van,white,ct
2850,2015,mitsubishi,fair,3 cylinders,gas,116000,clean,automatic,fwd,compact,hatchback,red,mi
8995,2002,chevrolet,good,8 cylinders,gas,159031,clean,automatic,4wd,full-size,truck,grey,pa
5995,2011,subaru,good,4 cylinders,gas,141622,clean,automatic,4wd,full-size,SUV,silver,ct
39900,2017,ford,excellent,8 cylinders,diesel,130948,clean,automatic,4wd,full-size,pickup,white,oh
31990,2013,ford,good,8 cylinders,gas,101335,clean,automatic,4wd,full-size,truck,white,nj
43995,2017,ford,excellent,8 cylinders,diesel,255000,clean,automatic,4wd,full-size,pickup,black,sc
15988,2013,chevrolet,good,8 cylinders,gas,148373,clean,automatic,rwd,full-size,pickup,white,oh
26900,2020,toyota,excellent,4 cylinders,gas,29055,clean,automatic,fwd,full-size,SUV,black,ca
29900,2011,ford,good,8 cylinders,gas,97112,clean,automatic,4wd,full-size,truck,yellow,ia
4700,2010,nissan,excellent,6 cylinders,gas,179104,clean,automatic,fwd,full-size,sedan,black,ny
5995,2013,hyundai,excellent,4 cylinders,gas,136840,clean,automatic,fwd,compact,sedan,blue,fl
2700,2003,chevrolet,fair,6 cylinders,gas,188000,clean,automatic,4wd,full-size,SUV,white,co
13999,2018,gmc,excellent,4 cylinders,gas,40540,rebuilt,automatic,rwd,full-size,SUV,black,tx
31700,2018,toyota,excellent,6 cylinders,gas,29567,clean,automatic,rwd,full-size,pickup,black,fl
5990,2001,nissan,excellent,6 cylinders,gas,116000,clean,automatic,4wd,full-size,SUV,silver,wv
5995,1996,mercedes-benz,excellent,6 cylinders,gas,94001,clean,automatic,rwd,full-size,sedan,silver,or
16950,2015,chevrolet,good,8 cylinders,gas,139388,clean,automatic,rwd,full-size,van,white,ky
1,2014,ram,excellent,8 cylinders,gas,118224,clean,automatic,rwd,full-size,truck,black,fl
39495,2020,ram,like new,8 cylinders,gas,33629,clean,automatic,rwd,full-size,truck,silver,az
4995,2007,nissan,new,6 cylinders,gas,168566,clean,automatic,fwd,mid-size,mini-van,red,co
38990,2013,chevrolet,good,8 cylinders,gas,134000,clean,automatic,rwd,full-size,truck,white,in
1,2015,lexus,excellent,6 cylinders,gas,41987,clean,other,4wd,mid-size,coupe,black,fl
42900,2018,ford,excellent,6 cylinders,gas,49410,clean,automatic,4wd,mid-size,truck,black,ma
30981,2018,ford,excellent,6 cylinders,gas,52728,clean,automatic,4wd,full-size,SUV,custom,ky
31990,2013,ford,good,8 cylinders,gas,101335,clean,automatic,4wd,full-size,truck,white,wv
9500,2007,cadillac,good,8 cylinders,gas,203000,clean,automatic,4wd,full-size,SUV,white,tx
19900,2017,ford,good,6 cylinders,gas,180159,clean,automatic,4wd,full-size,truck,black,wi
7975,2004,ford,excellent,8 cylinders,gas,154065,clean,automatic,4wd,full-size,pickup,red,il
25990,2006,chevrolet,good,8 cylinders,gas,73360,clean,automatic,rwd,full-size,truck,white,ct
29900,2017,ford,excellent,6 cylinders,gas,72849,rebuilt,automatic,4wd,full-size,SUV,white,oh
8377,2011,hyundai,excellent,4 cylinders,gas,99930,clean,automatic,4wd,compact,SUV,black,oh
19700,2004,gmc,excellent,8 cylinders,gas,114206,clean,automatic,4wd,full-size,pickup,blue,fl
1,2013,bmw,excellent,8 cylinders,gas,66035,clean,other,4wd,compact,sedan,silver,fl
144832,2013,volvo,good,5 cylinders,gas,144832,clean,automatic,rwd,mid-size,sedan,black,tx
9000,2013,nissan,good,4 cylinders,gas,93788,clean,automatic,fwd,mid-size,sedan,silver,ca
19990,2011,porsche,excellent,8 cylinders,gas,91800,clean,automatic,4wd,full-size,SUV,silver,il
7795,2009,chrysler,excellent,6 cylinders,gas,97632,clean,automatic,fwd,mid-size,mini-van,red,co
31995,2020,ram,good,6 cylinders,gas,18701,clean,automatic,fwd,full-size,van,white,mt
14995,2013,jeep,excellent,6 cylinders,gas,14995,clean,automatic,rwd,full-size,SUV,black,ca
29900,2016,lexus,excellent,4 cylinders,hybrid,29701,clean,automatic,fwd,full-size,sedan,white,fl
4990,2003,mercedes-benz,excellent,4 cylinders,gas,120004,clean,manual,rwd,mid-size,sedan,black,az
10999,2011,toyota,excellent,4 cylinders,gas,90319,clean,automatic,fwd,full-size,sedan,red,ca
32995,2017,subaru,like new,4 cylinders,gas,89011,clean,manual,4wd,mid-size,sedan,black,id
3600,2005,hyundai,excellent,4 cylinders,gas,133452,clean,automatic,fwd,compact,sedan,white,ca
6950,2003,gmc,excellent,6 cylinders,gas,154000,clean,automatic,4wd,full-size,SUV,blue,ia
11950,2013,ford,excellent,6 cylinders,gas,133851,clean,automatic,fwd,full-size,SUV,white,ky
